english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
Produced by Srinivasan.,சீனிவாசன் தயாரித்தார்.,chīṉivāsaṉ thayārithār.,seenivaasan thayarichaar,seenivaasan thayarichaaru
Easy to drive.,ஓட்டுவதற்கும் எளிதானவை.,ōṭṭuvadhaṟkum yeḷidhāṉavai.,oottarathukku sulabam,oottarathuku easy
Joined undergraduate.,பட்டப்படிப்பில் சேர்ந்தார்.,paṭṭappaḍippil chērndhār.,kaalejle sernthaar,kaalejle serthaaru
He heard fun.,வேடிக்கையாகக் கேட்டாராம்.,vēḍikkaiyāgak kēṭṭārām.,vedikaiyaa kaettaar,comedya kaettaaru
See the map,வரைபடத்தை காணவும்,varaibaḍathai kāṇavum,padathe paaru,map paaru
"""Who is the house for?""","""வீடு யாருக்கு?""","""vīḍŭ yārukku?""","""voodu yaarukku?""","""veedu yaaruku?"""
He disappeared in 1997.,இவர் 1997இல் மறைந்தார்.,ivar 1997il maṟaindhār.,ivaru 1997le seththu poyittaar,ivuru 1997le yerandhutaru
For example.,உதாரணமாக கூறலாம்.,udhāraṇamāga  kūṟalām.,eduththukaata sollalaam,eduththukaata sollalaam
Not only that.,அது மட்டுமல்ல.,adhŭ maṭṭumalla.,adhu mattum ille,adhu mattum ille
They eat it,அதை உண்பர்.,adhai uṇbar.,adhe saappuduvaanga,adheiye saapuduvaanga
I am a man.,நானே கள்வன்.,nāṉē kaḷvaṉ.,naandhaan thiruden,naandhaan thiruden
"Name, Mahendra.","இயற்பெயர், மகேந்திரா.","iyaṟpeyar, magēndhirā.",nejamaana paeru mahendhra,neja paeru mahendhra
Childhood friend (girl),குழந்தைப்பருவ தோழி.,kuzhandhaipparuva thōzhi.,chinnavayasu frendu,chinnavayasu friendu
It is somewhat dangerous.,இது ஓரளவு ஆபத்தானதுமாகும்.,idhŭ ōraḷavŭ ābathāṉadhumāgum.,idhu ooralavukku aabathu,idhu ooralavukku danger
You can find the coastal areas of Tamil Nadu.,தமிழ்நாட்டிலும் கடற்கரையோரப்பகுதிகளில் காணலாம்.,thamizhnāṭṭilum kaḍaṟkaraiyōrappagudhigaḷil kāṇalām.,thamilnaattule kadalkaraiyoorum paakkalaam,thamilnaattuleyum kadal karaiyoorum paakkalaam
Shankar has directed the film.,சங்கர் இப்படத்தை இயக்கியுள்ளார்.,chaṅgar ippaḍathai iyakkiyuḷḷār.,shankar indhe padathe iyakkinaar,shankar indhe padathe yedutharu
To read in the daytime.,பகலில் படிக்க வேண்டும்.,pagalil paḍikka vēṇḍum.,pagalle padikkanum,kaalaila padikanum
He married Ranganayaki in 1929.,1929இல் ரங்கநாயகியை மணந்தார்.,1929il raṅganāyagiyai maṇandhār.,1929le ranganayagiye kalyaanum pannaar,1929le ranganayagiye kalyaanam pannaaru
Always singing.,எப்பொழுதும் பாடக்கூடிய இராகம்.,yeppozhudhum pāḍakkūḍiya irāgam.,yeppovame paadre raagam,yeppovame paadre paatu
The main sports football.,முக்கிய விளையாட்டு கால்பந்தாட்டம்.,mukkiya viḷaiyāṭṭŭ kālbandhāṭṭam.,mukkiyamaana velaiyaattu kaalpandhu,mukkiyamaana velaiyaattu Football
There are also beautiful waterfalls.,அழகிய நீர்வீழ்ச்சிகளும் உள்ளன.,azhagiya nīrvīzhchigaḷum uḷḷaṉa.,azhagaana neerveezhcheenga irukku,azhagaana waterfalls-laam iruku
Ramachandran founded the party.,இராமச்சந்திரன் இக்கட்சியைத் தோற்றுவித்தார்.,irāmachandhiraṉ ikkaṭchiyaith thōṯṟuvithār.,raamachandhren indhe katchiye aarambichaaru,ramachandhren idhe katchiye aarambichaaru
