english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
Produced by Srinivasan.,சீனிவாசன் தயாரித்தார்.,cheenivaasan thayaarithaar.,seenivaasan thayaarichaar,seenivaasan thayarichaaru
Easy to drive.,ஓட்டுவதற்கும் எளிதானவை.,ottuvadharkum elidhaanavai.,oottarathukku sulabam,oottarathuku easy
Joined undergraduate.,பட்டப்படிப்பில் சேர்ந்தார்.,pattappadippil chaerndhaar.,kaalejle sernthaar,kaalejle serthaaru
He heard fun.,வேடிக்கையாகக் கேட்டாராம்.,vaedikkaiyaagak kaettaaraam.,vedikaiyaa kaettaar,comedya kaettaaru
See the map,வரைபடத்தை காணவும்,varaibadathai kaanavum,padathe paaru,map paaru
"""Who is the house for?""","""வீடு யாருக்கு?""","""veedu yaarukku?""","""voodu yaarukku?""","""veedu yaaruku?"""
He disappeared in 1997.,இவர் 1997இல் மறைந்தார்.,ivar 1997il maraindhaar.,ivaru 1997le seththu poyittaar,ivuru 1997le yerandhutaru
For example.,உதாரணமாக கூறலாம்.,udhaaranamaaga kooralaam.,eduththukaatta sollalaam,eduththukaatta sollalaam
Not only that.,அது மட்டுமல்ல.,adhu mattumalla.,adhu mattum ille,adhu mattum ille
They eat it,அதை உண்பர்.,adhai unbar.,adhe saappuduvaanga,adheiye saapuduvaanga
I am a man.,நானே கள்வன்.,naanae kalvan.,naandhaan thiruden,naandhaan thiruden
"Name, Mahendra.","இயற்பெயர், மகேந்திரா.","iyarpeyar, magaendhiraa.",nejamaana paeru mahendhra,neja paeru mahendhra
Childhood friend (girl),குழந்தைப்பருவ தோழி.,kuzhandhaipparuva thozhi.,chinnavayasu frendu,chinnavayasu friendu
It is somewhat dangerous.,இது ஓரளவு ஆபத்தானதுமாகும்.,idhu oralavu aabathaanadhumaagum.,chinnavayasu frendu,idhu oralavukku danger
You can find the coastal areas of Tamil Nadu.,தமிழ்நாட்டிலும் கடற்கரையோரப்பகுதிகளில் காணலாம்.,thamizhnaattilum kadarkaraiyorappagudhigalil kaanalaam.,thamilnaattule kadalkaraiyoorum paakkalaam,thamilnaattuleyum kadal karaiyoorum paakkalaam
Shankar has directed the film.,சங்கர் இப்படத்தை இயக்கியுள்ளார்.,changar ippadathai iyakkiyullaar.,shankar indhe padathe iyakkinaar,shankar indhe padathe yedutharu
To read in the daytime.,பகலில் படிக்க வேண்டும்.,pagalil padikka vaendum.,pagalle padikkanum,kaalaila padikanum
He married Ranganayaki in 1929.,1929இல் ரங்கநாயகியை மணந்தார்.,1929il ranganaayagiyai manandhaar.,1929le ranganayagiye kalyaanum pannaar,1929le ranganayagiye kalyaanam pannaaru
Always singing.,எப்பொழுதும் பாடக்கூடிய இராகம்.,eppozhudhum paadakkoodiya iraagam.,yeppovame paadre raagam,yeppovame paadre paatu
The main sports football.,முக்கிய விளையாட்டு கால்பந்தாட்டம்.,mukkiya vilaiyaattu kaalbandhaattam.,mukkiyamaana velaiyaattu kaalpandhu,mukkiyamaana velaiyaattu Football
There are also beautiful waterfalls.,அழகிய நீர்வீழ்ச்சிகளும் உள்ளன.,azhagiya neerveezhchigalum ullana.,azhagaana neerveezhcheenga irukku,azhagaana waterfalls-laam iruku
Ramachandran founded the party.,இராமச்சந்திரன் இக்கட்சியைத் தோற்றுவித்தார்.,iraamachandhiran ikkatchiyaith thotruvithaar.,raamachandhren indhe katchiye aarambichaaru,ramachandhren idhe katchiye aarambichaaru
Lord Shiva appeared as a test.,சிவபெருமான் சோதிப்பிழம்பாகத் தோன்றினார்.,chivaberumaan chodhippizhambaagath thondrinaar.,siveperumaan jodhiyaa therunjaar,sivaperumaan jodhiyaa vandharu
I know your grief.,உன் மனக்குழப்பம் அறிகிறேன்.,un manakkuzhappam arigiraen.,uon manasu kozhappam puriyadhu,uon mana kashtam puriyudhu
Published by Thamilini Publishing.,தமிழினி பதிப்பகத்தால் வெளியிடப்பட்டிருக்கிறது.,thamizhini padhippagathaal veliyidappattirukkiradhu.,thamizhini padhippagam veliyittuchu,thamizhini press laa velivandhuchi
Alexei died in prison.,அலெக்ஸி சிறைச்சாலையில் இறந்துவிட்டார்.,aleksi chiraichaalaiyil irandhuvittaar.,aleksi jeyle seththu poyittaar,aleksi jailaye yerandhutaram
He did not know this.,இதை அவர் அறிந்திருக்கவில்லை.,idhai avar arindhirukkavillai.,idhu avarukku theriyale,idhu avaruku theriyadhu
The author's name is unknown.,ஆசிரியர் பெயர் தெரியவில்லை.,aasiriyar peyar theriyavillai.,aasiriyar paeru theriyale,teacher paeru theriyale
There are some here.,சிலவும் இங்கு உள்ளன.,chilavum ingu ullana.,sile inge irukku,siladhu inge irukku
"""Manam"" is ""measurement"".","""மானம்"" என்பது ""அளவீடு"".","""maanam"" enbadhu ""alaveedu"".",maanam-ngiradhu alaveedu,maanam-ngiradha alavu pannu
Sen is involved in Buddhism.,சென் பௌத்தத்தில் ஈடுபாடுள்ளவர்.,chen pauthathil eedubaadullavar.,zen budhdhisam pudikkum,zen budhdhisam pudikkum
There was also a shutdown in Delhi.,தில்லியிலும் கடையடைப்பு நடந்தது.,thilliyilum kadaiyadaippu nadandhadhu.,delliyale kadaiyadappu nadandhachu,delli-layum kadaiyadappu panitangalam
The left is folded inside.,இடதுகால் உள்ளே மடக்கப்பட்டிருக்கும்.,idadhugaal ullae madakkappattirukkum.,leftukkaalu ulle madakkiyirukkum,lefttu kaalu ulle madangi irundhuchi
The film was not released.,அந்தத் திரைப்படம் வெளியிடப்படவில்லை.,andhath thiraippadam veliyidappadavillai.,andha padam velivarale,andha padam inum varala
Libya was released in 1951.,லிபியா 1951-இல் விடுதலைப்பெற்றது.,libiyaa 1951-il vidudhalaippetradhu.,libya 1951le sudandharam vaangichu,libya 1951le vidudhalaiachi
They learned Tamil curiously.,தமிழை ஆர்வத்துடன் கற்றனர்.,thamizhai aarvathudan katranar.,thamizhe aarvamaa kaththukittaange,thamizha interest oda kaththukutanga
That land is Liberia.,அந்த நிலம்தான் லைபீரியா.,andha nilamdhaan laibeeriyaa.,andhe nelamdhaa laibeeriyaa,andhe land dhan laibeeriyaa
He will not eat too.,தானும் உண்ண மாட்டான்.,thaanum unna maattaan.,avanum saapdemaataan,avanum saapdemaataan
He is the best speaker.,இவர் சிறந்த பேச்சாளர்.,ivar chirandha paechaalar.,avaru nallaa pesuvaaru,avaru nalla pesuvaaru
Srinivasan is a lawyer.,சீனிவாசன் ஒரு வழக்கறிஞர்.,cheenivaasan oru vazhakkarinyar.,seenivaasan oru vakkeelu,seenivaasan vakkeelu
He repaired the ruined forts.,இடிந்துகிடந்த கோட்டைகளை பழுதுபார்த்தார்.,idindhugidandha kottaigalai pazhudhubaarthaar.,idinji poona kottaingkale sari senjaar,idinji poona kottaiyalam sari pannaaru
But no one was found.,ஆனால் யாரும் தென்படவில்லை.,aanaal yaarum thenbadavillai.,aanaa yaarum theriyale,aanaa yaarum ila
Sarath composed music.,சரத் இசையமைத்தார்.,charath isaiyamaithaar.,sarath isaiamaichaar,sarath music potaru
But that is not the case.,ஆனால் அதுபோல் நிகழ்வதில்லை.,aanaal adhubol nigazhvadhillai.,aana athumaathiri nadakkarathille,aana andha maari aanadhila
The heart is cone -shaped.,இதயம் கூம்பு வடிவானது.,idhayam koombu vadivaanadhu.,idhayam koombu vadivam,idhayam koombu vadivam
The trio is shown in the picture.,படத்தில் முப்பட்டகம் காட்டப்பட்டுள்ளது.,padathil muppattagam kaattappattulladhu.,padathula 3D kaattapattirukku,padathula 3D effect irukku
Jayawardena opened.,ஜெயவர்தனா திறந்து வைத்தார்.,jeyavardhanaa thirandhu vaithaar.,jeyavardhana thorandhu vachaar,jeyavardhana therandhaaru
He has two brothers.,அவருக்கு இரண்டு தம்பிகள்.,avarukku irandu thambigal.,avarukku rendu thambinge,avarukku rendu thambhinga
Sneha was born in Mumbai.,சினேகா மும்பையில் பிறந்தார்.,chinaegaa mumbaiyil pirandhaar.,sneha mumbaiyile poranthaange,sneha mumbaiyile poranthaange
The soil is rich.,மண்வளம் செழுமை பெறுகின்றது.,manvalam chezhumai perugindradhu.,mannu sezhumaiye irukku,mannu sezhmaiye irukku
The tail is also white.,வாலும் வெள்ளையாக உள்ளது.,vaalum vellaiyaaga ulladhu.,vaalu vellaiye irukku,vaalum white-ah irruku
This is very firm.,இது மிகவும் உறுதியானது.,idhu migavum urudhiyaanadhu.,idhu romba thidamairukku,idhu rombha strong-a irukku
They are very slim.,அவை மிக மெலிந்தவை.,avai miga melindhavai.,adhu rombavum  mellisanathu,adhu rombha sannamaa irukku
Today is the day.,அதற்குரிய நாளும் இன்றேயாகும்.,adharkuriya naalum indraeyaagum.,adhukkaana naal innaikkuthaan,adhukkuaana naal than iniki
Who can make decisions boldly.,தைரியமாக முடிவுகளை எடுக்கக்கூடியவர்.,thairiyamaaga mudivugalai edukkakkoodiyavar.,dheiriyama mudivu eduppaar,dheiriyama mudivu edupaaru
They scored with color powders.,வண்ணப் பொடிகளால் கோலமிட்டனர்.,vannap podigalaal kolamittanar.,vanna podiyala kolam pottaange,color podiyala kolam pottaange
