tamil,transliterated,colloquial
ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,ārambagālap pāḍalgaḷ thamizhagathilirundhē veḷivandhaṉa.
முதலில் இவை அணுக்கள் என்று அறிந்தனர்.,mudhalil ivai aṇukkaḷ yeṉḏrŭ aṟindhaṉar.
"பூர்வபாகத்தில், ஆகமங்களின் தோற்றம், அன்றாடம் கடைப் பிடிக்கவேண்டிய சமய நடைமுறைகள் மற்றும் வழிபாடுகள், கோயில்கள், வீடுகள் முதலியவற்றின் அமைப்பு விதிகள், விக்கிரகங்களைப் பிரதிஷ்டை செய்வதற்கான விதிகளும் கிரியைகளும் என்னும் நான்கு பிரிவுகள் உள்ளன.","pūrvabāgathil, āgamaṅgaḷiṉ thōṯṟam, aṉḏrāḍam kaḍaip piḍikkavēṇḍiya chamaya naḍaimuṟaigaḷ maṯṟum vazhibāḍugaḷ, kōyilgaḷ, vīḍugaḷ mudhaliyavaṯṟiṉ amaippŭ vidhigaḷ, vikkiragaṅgaḷaip piradhishḍai cheyvadhaṟkāṉa vidhigaḷum kiriyaigaḷum yeṉṉum nāṉgŭ pirivugaḷ uḷḷaṉa."
"இவை மிக உயர்ந்த அழுத்தத்திலும், குறைந்த வெப்ப நிலையிலும் (temperature) தயாரிக்கப்படுகின்றன.","ivai miga uyarndha azhuthathilum, kuṟaindha veppa nilaiyilum (temperature) thayārikkappaḍugiṉḏraṉa."
"அகுரா மாஸ்டா என்ற பெயரைப் பின்பற்றி, சொராட்டிரிய நெறி, அதைப் பின்பற்றுவோரால் அதிகம் ""மாஸ்டாயாஸ்னா"" என்றே அறியப்படுகின்றது.","agurā māsḍā yeṉḏra peyaraip piṉbaṯṟi, chorāṭṭiriya neṟi, adhaip piṉbaṯṟuvōrāl adhigam ""māsḍāyāsṉā"" yeṉḏrē aṟiyappaḍugiṉḏradhu."
2011 முடிவில் மாண்டரின் பேசுபவர்கள் எண்ணிக்கை 84.5 கோடியாகும்.,2011 muḍivil māṇḍariṉ pēsubavargaḷ yeṇṇikkai 84.5 kōḍiyāgum.
"ஆர், மஞ்சுளா மற்றும் பலரும் நடித்துள்ளனர்.","ār, manjuḷā maṯṟum palarum naḍithuḷḷaṉar."
இதற்கு விதிவிலக்கு மீனின் வால்சிறகு ஆகும்.,idhaṟkŭ vidhivilakkŭ mīṉiṉ vālsiṟagŭ āgum.
இது ஒரு மலேசியரினின் நிறுவனமாகும்.,idhŭ orŭ malēsiyariṉiṉ niṟuvaṉamāgum.
"தமிழகம் மட்டுமன்றி அண்மை மாநிலங்களான ஆந்திரா,கருநாடகம் மற்றும் கேரளாவிலுருந்தும் நோயாளிகள் பயன்பெறுகின்றனர்.","thamizhagam maṭṭumaṉḏri aṇmai mānilaṅgaḷāṉa āndhirā,karunāḍagam maṯṟum kēraḷāvilurundhum nōyāḷigaḷ payaṉbeṟugiṉḏraṉar."
ருத்தேனியம்-மாலிப்டினம் கலப்புலோகம் 10.6 கெல்வின் வெப்பநிலைக்கு கீழாகவும் ஒரு மீக்கடத்தியாக செயல்படுகிறது.,ruthēṉiyam-mālipṭiṉam kalappulōgam 10.6 kelviṉ veppanilaikkŭ kīzhāgavum orŭ mīkkaḍathiyāga cheyalbaḍugiṟadhu.
"பின்னர் 1859 இலும், 1861 இல் கிங் தீவிலும் வெளிச்ச வீடுகள் அமைக்கப்பட்டன.","piṉṉar 1859 ilum, 1861 il kiṅ thīvilum veḷicha vīḍugaḷ amaikkappaṭṭaṉa."
"நம்பியார் ஆகியோரின் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ரஞ்சன், எம்.","nambiyār āgiyōriṉ iyakkathil veḷivandha ithiraippaḍathil ranjaṉ, yem."
"17 மீட்டர்கள் உயரமான இது, இப்பகுதியில் அமைந்துள்ள குடியேற்றவாதகாலத்துக்கு முற்பட்ட நினைவுச் சின்னங்களுள் பெரியது ஆகும்.","17 mīṭṭargaḷ uyaramāṉa idhu, ippagudhiyil amaindhuḷḷa kuḍiyēṯṟavādhagālathukkŭ muṟpaṭṭa niṉaivuch chiṉṉaṅgaḷuḷ periyadhŭ āgum."
ஆனால் இக்கல்வெட்டு நகருக்கருகில் பெகுரில் பார்வதி நாகேஸ்வரா கோவிலில் கவனிப்பாரின்றி இருக்கிறது...ஹலே கன்னட (பழைய கன்னடம்) மொழியில் எழுதப்பட்டுள்ள இந்த கல்வெட்டு எழுத்துக்கள் 890 ஆம் ஆண்டின் பெங்களூரு போர் ஒன்றைக் குறிப்பிடுகிறது.,āṉāl ikkalveṭṭŭ nagarukkarugil peguril pārvadhi nāgēsvarā kōvilil kavaṉippāriṉḏri irukkiṟadhu...halē kaṉṉaḍa (pazhaiya kaṉṉaḍam) mozhiyil yezhudhappaṭṭuḷḷa indha kalveṭṭŭ yezhuthukkaḷ 890 ām āṇḍiṉ peṅgaḷūrŭ pōr oṉḏraik kuṟippiḍugiṟadhu.
நீரின் ஆழத்திற்குச் செல்ல வேண்டுமாயின் ஒரு தாக்கமான உடற்பலம் பிரயோகிக்கப்பட வேண்டும்.,nīriṉ āzhathiṟkuch chella vēṇḍumāyiṉ orŭ thākkamāṉa uḍaṟpalam pirayōgikkappaḍa vēṇḍum.
வத்தேகாமம் மத்திய மலைநாடு என அழைக்கப்படும் இலங்கையின் புவியியல் பிரிவில் அமைந்துள்ளது.,vathēgāmam mathiya malaināḍŭ yeṉa azhaikkappaḍum ilaṅgaiyiṉ puviyiyal pirivil amaindhuḷḷadhu.
பின்னர் அந்தப் பாத்திரத்தில் கேதரின் ஜீடா-ஜோன்ஸ் நடித்தார்.,piṉṉar andhap pāthirathil kēdhariṉ jīḍā-jōṉs naḍithār.
"இதன் எதிர்கால விபரீதங்களை மனதில் எண்ணிய அடிகளார், காலத்திற்கேற்ப, இந்து மதத்தின் உன்னத சீலங்களைப் புரியவைக்கும் முயற்சியில் இறங்கினார்.","idhaṉ yedhirgāla vibarīdhaṅgaḷai maṉadhil yeṇṇiya aḍigaḷār, kālathiṟkēṟpa, indhŭ madhathiṉ uṉṉadha chīlaṅgaḷaip puriyavaikkum muyaṟchiyil iṟaṅgiṉār."
இவை அனைத்தும் மிகவும் சிறிய அளவு கொண்டவை.,ivai aṉaithum migavum chiṟiya aḷavŭ koṇḍavai.
i என்பதை தாழ் மட்ட எழுத்தில் குறிப்பிடப்பட்டுள்ளது.,i yeṉbadhai thāzh maṭṭa yezhuthil kuṟippiḍappaṭṭuḷḷadhu.
1947ம் ஆண்டின் மாநகரசபைச் சட்டத்தின் (இல129) படி உள்ளூராட்சி அமைச்சர் எந்தவொரு வளர்ச்சியடைந்த நகரத்தினையும் மாநகரசபைப் பகுதியெனப் பிரகடனப்படுத்தி அதன் எல்லையை வரையறுத்துப் பெயரையும் குறிப்பிடலாம்.,1947m āṇḍiṉ mānagarasabaich chaṭṭathiṉ (ila129) paḍi uḷḷūrāṭchi amaichar yendhavorŭ vaḷarchiyaḍaindha nagarathiṉaiyum mānagarasabaip pagudhiyeṉap piragaḍaṉappaḍuthi adhaṉ yellaiyai varaiyaṟuthup peyaraiyum kuṟippiḍalām.
அங்குக் கட்டப்பட்ட கோவில் வித்யா விநீத பல்லவ-பரமேசுவர க்ருகம் எனப் பெயர்பெற்றது.,aṅguk kaṭṭappaṭṭa kōvil vithyā vinīdha pallava-paramēsuvara krugam yeṉap peyarbeṯṟadhu.
"1068 ஆம் ஆண்டில், இரண்டாம் சோமேஸ்வரன் மேலைச் சாளுக்கிய ஆட்சிபீடம் ஏறினான்.","1068 ām āṇḍil, iraṇḍām chōmēsvaraṉ mēlaich chāḷukkiya āṭchibīḍam yēṟiṉāṉ."
அப்போது தனது குலதெய்வமான இராஜராஜேஸ்வரி அம்மனை வழிபாடு செய்ததால் இப்பெயர் பெற்றது.,appōdhŭ thaṉadhŭ kuladheyvamāṉa irājarājēsvari ammaṉai vazhibāḍŭ cheydhadhāl ippeyar peṯṟadhu.
"1997 ஆம் ஆண்டில் பிரித்தானிய நூலகக் கட்டடம் திறந்து வைக்கப்படும் வரை, அருங்காட்சியகமும், தேசிய நூலகமும் ஒரே கட்டடத்திலேயே இயங்கிவந்தன.","1997 ām āṇḍil pirithāṉiya nūlagak kaṭṭaḍam thiṟandhŭ vaikkappaḍum varai, aruṅgāṭchiyagamum, thēsiya nūlagamum orē kaṭṭaḍathilēyē iyaṅgivandhaṉa."
இந்திய இராணுவத்தில் அலுவலராக 1960 களில் பணியாற்றியவர்.,indhiya irāṇuvathil aluvalarāga 1960 kaḷil paṇiyāṯṟiyavar.
"இந்தியாவில் 450 தேசியப் பூங்காக்களும், சரணாலயங்களும் உள்ளதாகக் கூறப்படுகின்றது.","indhiyāvil 450 thēsiyap pūṅgākkaḷum, charaṇālayaṅgaḷum uḷḷadhāgak kūṟappaḍugiṉḏradhu."
"உலகம் முழுவதிலும் காணப்படும் பல பண்பாட்டுக் கூறுகளைப் போலவே, இந்த நடைமுறையும் நம்பிக்கையின் அடிப்படையிலானது, இந்துக்களின் உலக நோக்கின் பாற்பட்டது.","ulagam muzhuvadhilum kāṇappaḍum pala paṇbāṭṭuk kūṟugaḷaip pōlavē, indha naḍaimuṟaiyum nambikkaiyiṉ aḍippaḍaiyilāṉadhu, indhukkaḷiṉ ulaga nōkkiṉ pāṟpaṭṭadhu."
மேலும் இது இதை பின்பற்றுபவர்கள் உறுதியான மனநிலையை கொண்டவர்களாக இருக்க வேண்டும் என்பதையும் குறிப்பதாக எடுத்துக்கொள்ளலாம்.,mēlum idhŭ idhai piṉbaṯṟubavargaḷ uṟudhiyāṉa maṉanilaiyai koṇḍavargaḷāga irukka vēṇḍum yeṉbadhaiyum kuṟippadhāga yeḍuthukkoḷḷalām.
நாட்டின் உயரிய கட்டிடக்கலை தொழிற்நுட்பத்திற்கு ஒரு சான்றாக விளங்குகிறது.,nāṭṭiṉ uyariya kaṭṭiḍakkalai thozhiṟnuṭpathiṟkŭ orŭ chāṉḏrāga viḷaṅgugiṟadhu.
இதன்மூலமாக இத்திருக்கோயிலின் கட்டிடக்கலை நுட்பத்தை உணர முடியும்.,idhaṉmūlamāga ithirukkōyiliṉ kaṭṭiḍakkalai nuṭpathai uṇara muḍiyum.
"இறுதியில் தாய், கமலநாதன், அன்பரசன் எல்லோருமே இறந்து போகிறார்கள்.","iṟudhiyil thāy, kamalanādhaṉ, aṉbarasaṉ yellōrumē iṟandhŭ pōgiṟārgaḷ."
